Campaign,Negative keyword,Match type
DUET_SEARCH_BRIDGE_CTA_2026_05,family link,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,familylink,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,parental control,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,parental controls,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,parent control,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,google family,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,parent portal,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,family portal,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,attorney,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,lawyer,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,legal aid,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,court,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,file for divorce,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,divorce papers,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,child support calculator,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,alimony,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,mediation,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,mediator,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,therapist,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,counseling,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,restraining order,Phrase
DUET_SEARCH_BRIDGE_CTA_2026_05,emergency custody,Phrase
