Campaign,Ad group,Keyword,Match type,Status
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,co parenting calendar,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,co parenting app,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,shared custody calendar,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,custody calendar app,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,parenting schedule app,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,parenting time calendar,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,shared parenting calendar,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,custody schedule app,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,visitation schedule app,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,co parent scheduling app,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,divorce calendar app,Phrase,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,co parenting calendar,Exact,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,shared custody calendar,Exact,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,custody calendar app,Exact,Paused
DUET_SEARCH_BRIDGE_CTA_2026_05,Co-parent schedule app,parenting schedule app,Exact,Paused
